"crimeCategProbs"
"DRUG/NARCOTIC" 3.82505342917417e-05
"STOLEN PROPERTY" 2.55575800391384e-05
"TRESPASS" 2.55540843687887e-05
"OTHER OFFENSES" 2.26984591269718e-05
"SEX OFFENSES, NON FORCIBLE" 2.04369930790769e-05
"LOITERING" 1.7896927559802e-05
"WARRANTS" 1.78360909431572e-05
"WEAPON LAWS" 1.74887108760159e-05
"LIQUOR LAWS" 1.73674447065696e-05
"PROSTITUTION" 1.69429020845659e-05
"NON-CRIMINAL" 1.66166727366797e-05
"PORNOGRAPHY/OBSCENE MAT" 1.64019978350022e-05
"DRIVING UNDER THE INFLUENCE" 1.60203110272719e-05
"TREA" 1.58554393433091e-05
"GAMBLING" 1.56077141558575e-05
"DRUNKENNESS" 1.52427047088078e-05
"RUNAWAY" 1.52230283166748e-05
"KIDNAPPING" 1.51530934003084e-05
"ASSAULT" 1.49016349505923e-05
"VANDALISM" 1.48912547660365e-05
"MISSING PERSON" 1.47552792385074e-05
"VEHICLE THEFT" 1.46353496557604e-05
"DISORDERLY CONDUCT" 1.46000705196514e-05
"LARCENY/THEFT" 1.45727183784506e-05
"BURGLARY" 1.45659110009517e-05
"ROBBERY" 1.45342211834394e-05
"SUSPICIOUS OCC" 1.45161017891391e-05
"SECONDARY CODES" 1.45023881469258e-05
"FAMILY OFFENSES" 1.44874835553107e-05
"SEX OFFENSES, FORCIBLE" 1.44859098211663e-05
"ARSON" 1.44859098211663e-05
